5099 FE00; FSung-Academic; FS0F082F # Term: FS0F082F
5099 FE01; FSung-Academic; FS0F1AA7 # Term: FS0F1AA7
5099 FE02; FSung-Academic; FS0F1B28 # Term: FS0F1B28
5099 FE03; FSung-Academic; FS0F6979 # Term: FS0F6979
5099 FE04; FSung-Academic; FS0F697A # Term: FS0F697A
5099 FE05; FSung-Academic; FS0F697B # Term: FS0F697B
5099 FE06; FSung-Academic; FS0F697C # Term: FS0F697C
5099 FE07; FSung-Academic; FS0F697D # Term: FS0F697D
5099 FE08; FSung-Academic; FS0F697E # Term: FS0F697E
5099 FE09; FSung-Academic; FS0F697F # Term: FS0F697F
5099 FE0A; FSung-Academic; FS0F6980 # Term: FS0F6980
5099 FE0B; FSung-Academic; FS0F6982 # Term: FS0F6982
5099 FE0C; FSung-Academic; FS0F6983 # Term: FS0F6983
5099 FE0D; FSung-Academic; FS0F6984 # Term: FS0F6984
5099 FE0E; FSung-Academic; FS0F6985 # Term: FS0F6985
5099 FE0F; FSung-Academic; FS0F6986 # Term: FS0F6986
5099 FE10; FSung-Academic; FS0F6987 # Term: FS0F6987
5099 FE11; FSung-Academic; FS0F6989 # Term: FS0F6989
5099 FE12; FSung-Academic; FS0F698A # Term: FS0F698A
5099 FE13; FSung-Academic; FS0F698B # Term: FS0F698B
5099 FE14; FSung-Academic; FS0F698C # Term: FS0F698C
5099 FE15; FSung-Academic; FS0F698D # Term: FS0F698D
5099 FE16; FSung-Academic; FS0F698E # Term: FS0F698E
5099 FE17; FSung-Academic; FS0F698F # Term: FS0F698F
5099 FE18; FSung-Academic; FS0F6991 # Term: FS0F6991
5099 FE19; FSung-Academic; FS0F6992 # Term: FS0F6992
5099 FE1A; FSung-Academic; FS0F6993 # Term: FS0F6993
5099 FE1B; FSung-Academic; FS0F6994 # Term: FS0F6994
5099 FE1C; FSung-Academic; FS0F69A4 # Term: FS0F69A4
5099 FE1D; FSung-Academic; FS0F69BC # Term: FS0F69BC
5099 FE1E; FSung-Academic; FS0F69C3 # Term: FS0F69C3
5099 FE1F; FSung-Academic; FS0F6D4A # Term: FS0F6D4A
5099 FE20; FSung-Academic; FS0F6D58 # Term: FS0F6D58
5099 FE21; FSung-Academic; FS0F6D63 # Term: FS0F6D63
5099 FE22; FSung-Academic; FS103951 # Term: FS103951
